id,plume_id,mask_pixels,swir_nd_true_contrast,swir_nd_shifted_contrast,b11_true_contrast,b11_shifted_contrast,b12_true_contrast,b12_shifted_contrast,visible_true_contrast,visible_shifted_contrast
121462,emi20220828t051853p04002-B,8189,-2.3760949623860412,0.42451191107897146,0.7037155835472647,-0.4863872340646935,1.226847647727904,-0.5186815611947125,-0.30610121752231745,-0.02924489707996556
111913,ang20220903t185320-B,7846,-1.6559941188359297,-0.8120707176143916,2.3093904122139013,-0.029001262241950435,2.435676438512118,0.19972337116422137,2.03650737449794,-0.4771500784846715
8493,GAO20200714t175217p0000-F,2570,0.1808637367715032,0.2586837353572442,1.1709190397298126,-0.19612347919039838,0.7986079701108071,-0.2237934506820191,2.573845698794239,-0.178001413502946
75891,GAO20240514t190451p0000-S,1964,0.2762349603092665,0.5383610978778439,2.2617239691959345,-0.5647295404389941,1.816363974222335,-0.6220601927146955,2.723715034678433,-0.42115642766494693
383,GAO20191020t165717p0000-D,11096,-0.7885963953682744,0.11558278190901686,0.5595213708065525,-0.30407989807692,0.6869060858878159,-0.2704503606977395,0.4926449256650369,-0.31388882984944744
95889,ang20181001t173050-D,6217,0.6962910783403428,0.103276538163228,-0.01621205736153512,0.18886318008122827,-0.2689544644587025,0.17144130014671125,-0.06374954728891571,-0.004914489624036373
235686,tan20250518t074002c00s4001-AE,18999,-0.42137625430759446,0.721984243848408,-0.5915173489899271,0.6053566725829526,-0.44548432479476086,0.37846957511867774,-0.4302671074193938,0.519687588222263
12489,GAO20200724t155931p0000-H,12966,0.7673631477715588,-0.3597018711074497,1.3127639039239838,-0.4430867111586055,1.2225426744392027,-0.39499678212984224,1.4540585242396207,-0.46816431415842485
15548,GAO20200807t175429p0000-A,2765,-0.3060738513546783,-0.0941468138168165,-0.04445302456185399,-0.4324703495719402,0.09615512720997525,-0.35143912865014887,0.20619002716738952,0.1459518468173882
260397,tan20250926t183944c51s4001-D,21965,0.0181552483013814,0.08688232298751615,0.09731784578514617,-0.5824779758135498,0.07581209996948843,-0.5529114524985889,0.041768801420313,-0.6961609193666237
118086,av320250803t151829-J,1106,0.1618430100587551,-0.427242517137622,-0.07091868989766671,0.7385079498782744,-0.16382787623359377,1.2031088632436338,0.45995090400172767,0.24528688074568553
217502,tan20250129t084109c00s4001-C,2567,0.0631743927737574,0.6853367273066783,-0.08488816834936176,-0.5231230091075216,-0.07946815348885504,-0.5619282697476639,0.4780630940546222,-0.6120088680160839
219002,tan20250203t034534c00s4001-N,31414,-1.048218848600102,-0.0864452161173067,0.35160671671005944,0.0833911747582049,0.593445087780644,0.09029092913769225,1.743678992339646,-0.09546285713080956
111585,ang20220826t202657-A,806,-2.3695431123976753,1.4898934102089205,0.15475248400886002,-0.7256235439823773,0.9829625997024681,-1.030701855714311,1.6688432251236944,-0.905686322857352
216421,tan20241227t174829c00s4001-R,5098,-0.3191779430551617,0.056411282405834484,-0.6228466227221736,0.24601600990491646,-0.4471635304952837,0.19116558695714814,-0.24927970988365264,-0.25631152370650384
222537,tan20250225t170354c00s4001-D,11153,-1.3464581194648535,-0.28418750516195956,0.08688036853784999,-0.2972582976062426,0.20417328686319414,-0.2488415941868981,0.49700272478703583,-0.11048096688150298
230471,tan20250424t080257c00s4001-A,10263,-0.24831655902730423,-0.34880022706069364,0.15237840654974127,-1.2836061185748613,0.16992321345434755,-1.0600839803164097,0.29870471302732227,-0.14380105530965226
236972,tan20250518t074002c00s4001-U,13949,1.0235461691676,0.09039627375410524,1.4277382295501044,0.03838286776635427,1.2197958457356066,0.0073734313576915905,1.8347962988330127,-0.12055896376660465
229294,tan20250419t033623c00s4001-K,12272,-0.1420589735865562,-0.044298944676729256,0.28616438861826526,0.2240230644640113,0.3073925257854413,0.19987418739755677,0.3767865582595689,0.0730150181322868
104814,ang20200903t201645-C,3400,-0.4997895180342343,0.5424403840184912,0.42113895576833,-0.5619606611156226,0.6858509939367213,-0.5923857281032677,0.7520599065925873,-0.4734948497565368
113801,ang20230319t202238-A,7267,-0.28540090692156544,0.11902646757562114,1.01937305068221,0.2779459658520458,1.152014398086338,0.27045302945735317,0.7569251609633073,0.22712777695343242
233988,tan20250505t084810c00s4001-F,43952,0.4591734819396912,0.1624050422700146,-0.06887179094888599,-0.04700184412251122,-0.183260418587185,-0.08052618854471025,0.20685352666800602,-0.03226665775644811
243696,tan20250624t093350c56s4001-H,5154,-0.1886599301839672,0.5748362935251772,0.34831970179064115,-0.6207176238967833,0.292521084045448,-0.6369170499535675,-0.15145219635726156,0.6750645506756581
100635,ang20191025t182152-D,7070,0.12404552117021121,0.28641404415166377,0.009434177190961669,-0.23907021340253615,0.0008213091100050425,-0.2512660140075587,-0.03378983596507977,-0.2872160224448924
214336,tan20241216t103507c00s4001-A,4153,-0.5402190216647579,0.008951880095461384,0.657610332217203,0.6141109242884991,0.7434926486895446,0.5649179395583029,0.6107092598214587,0.7248337108451859
